STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20223,11320,도봉구,64934302,30149803,34784499,10229724,7778618,8438938,9521854,10496666,18468500,17679519,13353748,7312459,7325695,10606901,8655980,9263845,9166820,9130261,9118586,9135606,9453153,9666033
20223,11350,노원구,96448695,44390542,52058152,17868853,13077626,11622809,14402047,15027472,24449886,25551246,19594695,11130729,11262550,16215474,12694002,13751741,13657414,13631758,13591755,13595019,14012483,14208524
20223,11380,은평구,99373464,44773485,54599981,16175173,12749314,14831356,15881438,15079116,24657069,28206571,20423443,10684135,10627224,15885224,13546866,14194046,14031065,14000041,13958382,13980075,14468799,14741057
20223,11410,서대문구,93373626,42606228,50767399,13484578,17340538,15282372,15143519,13379651,18742968,23699085,19606054,11590787,11601569,15209806,11666326,13492308,13687038,13704168,13651311,13458748,12676639,12703414
20223,11440,마포구,114899120,52580529,62318591,15884872,23464359,22358158,19383007,14595869,19212856,28298706,23062685,14315849,14678110,20057330,14486439,16345078,16548627,16575518,16547060,16512528,16293393,16076914
20223,11470,양천구,77194849,36155564,41039284,16258658,8913547,10671858,12945969,11610486,16794330,21753512,15808987,8468855,8452822,12389035,10321635,11043527,10968604,10907737,10909126,10894203,11138720,11332930
20223,11500,강서구,113206811,53188268,60018543,18120902,15691230,20630273,18604102,15214850,24945456,31138952,23451116,12762990,12620227,18118489,15115040,16234841,16162439,16127670,16064932,15996630,16149684,16470617
20223,11530,구로구,78260049,37799734,40460314,11041186,9810949,13065805,13297555,12560283,18484272,21076196,16069887,8997822,9029766,12836685,10249693,11250480,11188271,11160703,11118521,11061575,11059944,11420554
20223,11545,금천구,37867075,18721837,19145238,4220735,5649639,6825736,6001540,6343417,8826006,10293931,7819917,4329897,4312153,6092985,5018193,5464337,5445074,5427349,5408120,5375429,5311445,5435318
20223,11560,영등포구,109080248,53245987,55834261,13282668,16222836,21208047,18467233,16957867,22941598,27289285,22609924,13552797,13632250,18284963,13711028,15674333,15774603,15779299,15705477,15633799,15166739,15345998
20223,11590,동작구,84213194,39696432,44516761,12505294,15169839,14018057,12690395,11393853,18435756,23169383,17474965,9366624,9296754,13640812,11264657,12039699,12034439,12006540,11951519,11900813,12058871,12221311
20223,11620,관악구,129599472,63891703,65707769,13972146,30229832,24521199,18505607,16336377,26034312,36286180,26663406,14045220,13976984,21052798,17574885,18448892,18341931,18280998,18202421,18180234,18859656,19285341
20223,11650,서초구,97507224,47065381,50441843,16257076,14094271,17572589,18625682,13637742,17319863,21830433,20562969,13615527,13547132,16657431,11293732,14223606,14676125,14712104,14663809,14420005,12647758,12163816
20223,11680,강남구,144550788,70799311,73751477,23306199,24198588,29342030,28242470,18496798,20964703,29255125,30010011,21896755,22058902,25579215,15750780,21022558,22076126,22260048,22219131,21616434,18268841,17087654
20223,11710,송파구,123093054,57743410,65349644,21174846,16002059,21429643,20467303,18090622,25928580,33046515,25393096,14247814,14207032,20152367,16046232,17657471,17667265,17651414,17600886,17531048,17420878,17564093
20223,11740,강동구,107457752,50200096,57257656,17946261,12901719,16713857,17405292,16316762,26173861,29535680,22164270,12173530,12110873,17290901,14182499,15379346,15318997,15278129,15224447,15195080,15360100,15701655
20224,11110,종로구,69870502,33692273,36178228,7706981,13262209,10942022,11234256,11377639,15347395,13913587,14251545,10927590,10943326,12353135,7481318,9899758,10303085,10416540,10425295,10397998,9525565,8902261
20224,11140,중구,60436323,30007236,30429086,5073245,10315347,12085217,10949993,9807216,12205304,10942948,12672960,10035246,9974653,10695727,6114790,8794063,9302348,9345583,9385787,9211288,7492033,6905221
20224,11170,용산구,64038330,30516932,33521397,7786472,10309949,12955694,11230251,9127875,12628089,16222764,13452313,7928674,7879555,10530204,8024819,9086030,9136361,9162216,9171138,9193029,9179061,9110494
20224,11200,성동구,74636033,35196512,39439520,10079491,13243657,13483681,12056822,10744286,15028098,18236868,15511292,9356490,9511938,12782934,9236509,10675605,10796178,10802780,10798583,10778919,10451807,10332161
