STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20232,11650580,반포3동,109,3.0,7.0,,,11.0,,1.0,1.0,,,,,,,,,,,18.0
20233,11650580,반포3동,109,3.0,7.0,,,11.0,,1.0,1.0,,,,,,,,,,,18.0
20231,11650581,반포4동,130,7.0,12.0,1.0,,12.0,,,1.0,,3.0,,,1.0,,,,,3.0,33.0
20232,11650581,반포4동,130,7.0,12.0,1.0,,12.0,,,1.0,,3.0,,,1.0,,,,,3.0,33.0
20233,11650581,반포4동,130,7.0,12.0,1.0,,12.0,,,1.0,,3.0,,,1.0,,,,,3.0,33.0
20231,11650590,방배본동,103,2.0,6.0,,,16.0,,1.0,,,,,1.0,,,,,,,25.0
20232,11650590,방배본동,103,2.0,6.0,,,16.0,,1.0,,,,,1.0,,,,,,,25.0
20233,11650590,방배본동,103,2.0,6.0,,,16.0,,1.0,,,,,1.0,,,,,,,25.0
20231,11710562,방이2동,164,3.0,5.0,,,18.0,,1.0,1.0,,,,,,,,,,1.0,13.0
20232,11710562,방이2동,164,3.0,5.0,,,18.0,,1.0,1.0,,,,,,,,,,1.0,13.0
20233,11710562,방이2동,164,3.0,5.0,,,18.0,,1.0,1.0,,,,,,,,,,1.0,13.0
20231,11710566,오륜동,74,4.0,6.0,,,6.0,1.0,2.0,2.0,3.0,11.0,,,,,,,,3.0,15.0
20232,11710566,오륜동,74,4.0,6.0,,,6.0,1.0,2.0,2.0,3.0,11.0,,,,,,,,3.0,15.0
20233,11710566,오륜동,74,4.0,6.0,,,6.0,1.0,2.0,2.0,3.0,11.0,,,,,,,,3.0,15.0
20231,11710570,오금동,134,5.0,5.0,,,13.0,3.0,3.0,4.0,2.0,,,,,,,,,3.0,27.0
20232,11710570,오금동,134,5.0,5.0,,,13.0,3.0,3.0,4.0,2.0,,,,,,,,,3.0,27.0
20233,11710570,오금동,134,5.0,5.0,,,13.0,3.0,3.0,4.0,2.0,,,,,,,,,3.0,27.0
20231,11710580,송파1동,102,2.0,4.0,,3.0,14.0,1.0,1.0,,,,,,,,,,,2.0,13.0
20232,11710580,송파1동,102,2.0,4.0,,3.0,14.0,1.0,1.0,,,,,,,,,,,2.0,13.0
20233,11710580,송파1동,102,2.0,4.0,,3.0,14.0,1.0,1.0,,,,,,,,,,,2.0,13.0
20231,11680521,논현1동,300,4.0,15.0,,4.0,42.0,,1.0,,,,,1.0,8.0,,,,,3.0,23.0
20232,11680521,논현1동,300,4.0,15.0,,4.0,42.0,,1.0,,,,,1.0,8.0,,,,,3.0,23.0
20233,11680521,논현1동,300,4.0,15.0,,4.0,42.0,,1.0,,,,,1.0,8.0,,,,,3.0,23.0
20231,11680531,논현2동,240,8.0,16.0,,5.0,29.0,1.0,1.0,1.0,,4.0,,,2.0,,,,,1.0,33.0
20232,11680531,논현2동,240,8.0,16.0,,5.0,29.0,1.0,1.0,1.0,,4.0,,,2.0,,,,,1.0,33.0
20233,11680531,논현2동,240,8.0,16.0,,5.0,29.0,1.0,1.0,1.0,,4.0,,,2.0,,,,,1.0,33.0
20231,11680545,압구정동,313,4.0,25.0,,5.0,30.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,,,,,2.0,18.0
20232,11680545,압구정동,313,4.0,25.0,,5.0,30.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,,,,,2.0,18.0
20233,11680545,압구정동,313,4.0,25.0,,5.0,30.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,,,,,2.0,18.0
20231,11680565,청담동,288,11.0,19.0,,4.0,27.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,3.0,23.0
20232,11680565,청담동,288,11.0,19.0,,4.0,27.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,3.0,23.0
