STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,LSR_CLTUR_EXPNDTR_TOTAMT,ETC_EXPNDTR_TOTAMT,FD_EXPNDTR_TOTAMT
20192,11290,성북구,3382636,7,69933191000,17904148000,2185622000,1471522000,7894598000,3142910000,3599523000,2329017000,7533017000,2647173000,21225661000
20192,11680,강남구,5126808,9,1788012376000,38193145000,24447724000,13729269000,99964143000,32838735000,27475242000,14818013000,909638467000,549818073000,77089565000
20192,11740,강동구,3387538,7,161311157000,16405925000,2472486000,2111282000,13869411000,2781084000,4758317000,3523972000,92635236000,3224164000,19529280000
20192,11560,영등포구,3757774,8,186899369000,21109006000,4621376000,2443361000,14223424000,38200198000,3336667000,5130352000,24279929000,37654164000,35900892000
20192,11110,종로구,3821536,8,153909650000,12504828000,12018172000,1269598000,13719491000,3733295000,3427198000,4180194000,16369653000,50615087000,36072134000
20192,11170,용산구,4085781,8,224781928000,106109321000,2480240000,22564412000,3787764000,6687708000,1303502000,3542257000,32193986000,22612253000,23500485000
20192,11140,중구,3607465,7,1835023885000,34219166000,10337920000,4760550000,10831553000,425052613000,15101298000,2958219000,1263856012000,41168618000,26737936000
20192,11410,서대문구,3466211,7,100334601000,11497634000,1673283000,1144474000,52845641000,1953315000,3247694000,2275678000,4167084000,3178619000,18351179000
20192,11470,양천구,3939633,8,272149927000,21775326000,1652880000,1700460000,13800835000,4776815000,9787549000,2354514000,196086656000,3446544000,16768348000
20192,11500,강서구,3251146,7,210420744000,24895661000,2677179000,2439271000,20870334000,29121668000,5704149000,5356334000,68311163000,21392395000,29652590000
20192,11620,관악구,2937877,6,102229918000,25426656000,2946103000,1988084000,11699598000,2424859000,14034053000,5539908000,6528835000,4570502000,27071320000
20192,11650,서초구,5127603,9,393474087000,21000399000,5810419000,2732964000,46249696000,8804015000,12748414000,7089851000,104591445000,140480948000,43965936000
20192,11215,광진구,3328285,7,81325799000,15769628000,4429972000,2381614000,8649368000,4876437000,3240830000,5115375000,6227333000,3853876000,26781366000
20192,11380,은평구,3008434,7,66683179000,15919389000,2023456000,1746466000,11225668000,4141367000,3973473000,3068552000,3971438000,3164477000,17448893000
20192,11530,구로구,3135990,7,649623759000,17294706000,1481987000,2375914000,20830437000,7345193000,2946757000,3430535000,571381687000,3247231000,19289312000
20192,11590,동작구,3596409,7,149608339000,18456288000,1338165000,1128050000,12930323000,79803420000,4585643000,2798677000,4905750000,3341718000,20320305000
20192,11200,성동구,3833236,8,66938220000,15194268000,2658049000,1399911000,7687985000,6745662000,4443337000,2517431000,4050499000,3643409000,18597669000
20192,11260,중랑구,2701482,6,57219473000,16704333000,1485189000,2004903000,7643841000,3382546000,2786397000,3137379000,4386746000,2268401000,13419738000
20192,11350,노원구,3327047,7,106135797000,33691869000,2103885000,1864749000,12970362000,3147886000,7906521000,3765977000,13357103000,4316402000,23011043000
20192,11305,강북구,2647046,6,51517595000,11134612000,1926737000,2107492000,7264803000,2929903000,1429048000,3422539000,3714874000,2735075000,14852512000
20192,11320,도봉구,2910938,6,41470323000,11612835000,836120000,1379045000,4919021000,3791759000,2183928000,1745831000,2741404000,1660784000,10599596000
20192,11440,마포구,3947573,8,435772013000,25021926000,8050110000,3035146000,13244489000,2184427000,8092572000,7756425000,313815880000,7524914000,47046124000
20192,11545,금천구,2760087,6,121225950000,12022226000,20497473000,57164479000,6726441000,3181799000,1425613000,2035507000,4888490000,1702004000,11581918000
20192,11710,송파구,4126356,8,167688164000,33912548000,8486218000,5870035000,27950571000,8296510000,8396608000,5500977000,23002804000,8171978000,38099915000
20193,11200,성동구,3833236,8,68514286000,15978920000,2235954000,1448654000,8216634000,6907185000,4911794000,2518514000,4269836000,3362853000,18663942000
20193,11380,은평구,3008434,7,70114550000,17058648000,1616881000,1804142000,12285968000,4492119000,4195384000,3195650000,4199991000,3169853000,18095914000
20193,11650,서초구,5127603,9,397547654000,22301780000,5159165000,2589983000,50484479000,7428716000,15134643000,7569216000,96118853000,145920768000,44840051000
20193,11110,종로구,3821536,8,163677260000,13476349000,12348516000,1228893000,14326030000,2822373000,6673377000,4276016000,18202458000,53278057000,37045191000
20193,11290,성북구,3382636,7,69740081000,18344568000,1857679000,1349032000,8079375000,3147863000,4429650000,2391366000,7483600000,2673879000,19983069000
20193,11320,도봉구,2910938,6,42443732000,12340392000,657890000,1152289000,4933237000,4118538000,2319218000,1787385000,2658270000,1669155000,10807358000
20193,11560,영등포구,3757774,8,238454782000,23442794000,4358657000,2559451000,14669369000,84415693000,3625047000,5273800000,26588237000,36793416000,36728318000
20193,11590,동작구,3596409,7,160246512000,19320745000,932274000,1240077000,13202871000,89099800000,4990773000,2859769000,5261743000,3275548000,20062912000
20193,11215,광진구,3328285,7,83755939000,16682214000,3959780000,2495600000,8684835000,5869333000,3533635000,5435539000,6700557000,4138318000,26256128000
