STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20192,11200645,옥수동,LL,다이나믹,79,46,93,49
20192,11200580,응봉동,LL,다이나믹,92,48,93,49
20192,11215810,광장동,LH,상권확장,83,50,93,49
20192,11215730,군자동,HL,상권축소,93,47,93,49
20192,11215830,자양2동,LL,다이나믹,91,48,93,49
20192,11215750,중곡2동,LL,다이나믹,90,45,93,49
20192,11230660,장안2동,LL,다이나믹,90,45,93,49
20192,11260610,중화2동,HL,상권축소,95,45,93,49
20192,11290555,삼선동,LL,다이나믹,93,48,93,49
20192,11290525,성북동,LH,상권확장,93,53,93,49
20192,11290640,정릉3동,HH,정체,96,52,93,49
20192,11305625,수유2동,LL,다이나믹,89,46,93,49
20192,11305645,우이동,LH,상권확장,91,49,93,49
20192,11320700,방학2동,LL,다이나믹,90,44,93,49
20192,11350595,공릉1동,LL,다이나믹,90,48,93,49
20192,11350600,공릉2동,LL,다이나믹,82,47,93,49
20192,11350630,상계1동,LL,다이나믹,80,45,93,49
20192,11350670,상계5동,LL,다이나믹,89,45,93,49
20192,11350700,상계8동,LL,다이나믹,89,48,93,49
20192,11350560,월계1동,LL,다이나믹,90,48,93,49
20192,11350611,하계1동,LH,상권확장,84,50,93,49
20192,11380625,역촌동,LL,다이나믹,85,45,93,49
20192,11410585,신촌동,HL,상권축소,93,48,93,49
20192,11410685,홍은2동,LH,상권확장,91,51,93,49
20192,11440660,서교동,LL,다이나믹,70,44,93,49
20192,11440590,용강동,LL,다이나믹,90,49,93,49
20192,11470510,목1동,LL,다이나믹,78,47,93,49
20192,11470611,신월7동,HL,상권축소,93,44,93,49
20192,11470630,신정2동,LL,다이나믹,90,47,93,49
20192,11470640,신정3동,LH,상권확장,92,49,93,49
20192,11470650,신정4동,LL,다이나믹,91,45,93,49
20192,11500605,가양3동,LH,상권확장,84,52,93,49
20192,11500510,염창동,LH,상권확장,91,51,93,49
20192,11500615,우장산동,LL,다이나믹,78,46,93,49
20192,11530540,구로3동,LL,다이나믹,73,45,93,49
20192,11545510,가산동,LL,다이나믹,70,46,93,49
20192,11560700,대림1동,HL,상권축소,104,46,93,49
20192,11560670,신길5동,HL,상권축소,95,47,93,49
20192,11590651,사당5동,LL,다이나믹,87,49,93,49
20192,11620695,신림동,LL,다이나믹,89,47,93,49
20192,11620625,인헌동,LH,상권확장,89,49,93,49
20192,11620725,조원동,HL,상권축소,97,44,93,49
20192,11650580,반포3동,HH,정체,101,55,93,49
20192,11680610,대치2동,LL,다이나믹,91,49,93,49
20192,11680590,삼성2동,LL,다이나믹,84,45,93,49
20192,11680740,일원2동,HH,정체,97,49,93,49
20192,11710631,가락1동,HH,정체,151,82,93,49
20192,11710532,거여2동,HH,정체,97,50,93,49
20192,11710561,방이1동,LL,다이나믹,86,46,93,49
20192,11740530,명일1동,HL,상권축소,95,47,93,49
20192,11740640,성내1동,HL,상권축소,94,46,93,49
20192,11740620,천호3동,HL,상권축소,95,45,93,49
20192,11740690,둔촌1동,HH,정체,131,59,93,49
20192,11110600,가회동,LH,상권확장,92,55,93,49
20192,11110580,교남동,HH,정체,110,56,93,49
20192,11110640,이화동,LH,상권확장,84,52,93,49
20192,11110650,혜화동,HH,정체,94,50,93,49
20192,11140615,신당동,LH,상권확장,81,59,93,49
20192,11140680,중림동,HH,정체,100,52,93,49
20192,11140645,청구동,LL,다이나믹,86,46,93,49
20192,11170650,이태원1동,HH,정체,107,60,93,49
20192,11170510,후암동,LH,상권확장,87,53,93,49
20192,11200670,성수2가1동,LL,다이나믹,86,46,93,49
20192,11200690,성수2가3동,LH,상권확장,78,51,93,49
20192,11200790,용답동,HH,정체,116,52,93,49
20192,11200570,행당2동,LL,다이나믹,78,48,93,49
20192,11215870,구의3동,HH,정체,102,54,93,49
20192,11230600,답십리1동,LH,상권확장,93,50,93,49
20192,11230710,회기동,LL,다이나믹,85,46,93,49
20192,11260660,망우3동,LL,다이나믹,88,43,93,49
20192,11290590,돈암2동,LL,다이나믹,79,43,93,49
20192,11290715,월곡1동,HL,상권축소,95,46,93,49
20192,11290620,정릉1동,LH,상권확장,93,51,93,49
20192,11290650,정릉4동,LH,상권확장,89,52,93,49
20192,11305615,수유1동,HL,상권축소,97,47,93,49
20192,11320514,창4동,LL,다이나믹,91,47,93,49
20192,11320515,창5동,LL,다이나믹,87,46,93,49
20192,11350695,상계6?7동,LL,다이나믹,92,45,93,49
20192,11350612,하계2동,LH,상권확장,91,50,93,49
20192,11380551,갈현1동,LL,다이나믹,86,47,93,49
20192,11380600,응암3동,HH,정체,99,49,93,49
20192,11410615,연희동,LL,다이나믹,89,48,93,49
20192,11440565,공덕동,HH,정체,104,50,93,49
20192,11470680,신정7동,LL,다이나믹,91,47,93,49
20192,11500560,화곡3동,LL,다이나믹,81,46,93,49
20192,11530595,가리봉동,HL,상권축소,98,44,93,49
20192,11530560,구로5동,LL,다이나믹,81,46,93,49
20192,11545680,시흥2동,LL,다이나믹,86,47,93,49
20192,11545700,시흥4동,HL,상권축소,97,42,93,49
20192,11560550,당산1동,HL,상권축소,98,48,93,49
20192,11560710,대림2동,LL,다이나믹,82,42,93,49
20192,11590510,노량진1동,HH,정체,106,57,93,49
20192,11620685,신사동,LL,다이나믹,90,45,93,49
20192,11620605,은천동,LL,다이나믹,90,46,93,49
20192,11620615,중앙동,LL,다이나믹,89,47,93,49
20192,11620595,청룡동,LL,다이나믹,90,46,93,49
20192,11620545,청림동,LH,상권확장,79,49,93,49
20192,11650530,서초3동,HH,정체,97,50,93,49
20192,11680580,삼성1동,LH,상권확장,87,52,93,49
20192,11680730,일원1동,HL,상권축소,99,47,93,49
20192,11710641,문정1동,LL,다이나믹,91,46,93,49
20192,11710590,송파2동,LL,다이나믹,87,45,93,49
20192,11710570,오금동,HL,상권축소,93,48,93,49
20192,11710710,잠실6동,LL,다이나믹,78,48,93,49
20192,11740520,상일동,LL,다이나믹,92,48,93,49
20192,11740580,암사2동,LL,다이나믹,92,47,93,49
20192,11740600,천호1동,LL,다이나믹,83,46,93,49
20192,11110670,창신1동,HH,정체,103,60,93,49
20192,11140590,광희동,HH,정체,122,53,93,49
20192,11140520,소공동,HH,정체,131,64,93,49
20192,11170640,이촌2동,HH,정체,113,61,93,49
20192,11170625,한강로동,HH,정체,110,54,93,49
20192,11200615,금호2?3가동,HH,정체,96,53,93,49
20192,11200650,성수1가1동,LH,상권확장,88,49,93,49
20192,11200535,왕십리도선동,LH,상권확장,76,49,93,49
20192,11230560,전농1동,LH,상권확장,90,50,93,49
20192,11260520,면목2동,HL,상권축소,94,45,93,49
20192,11260580,상봉1동,LL,다이나믹,77,45,93,49
20192,11290685,길음2동,LL,다이나믹,93,48,93,49
20192,11290600,안암동,LH,상권확장,88,50,93,49
20192,11305535,미아동,LL,다이나믹,88,46,93,49
20192,11305603,번2동,LL,다이나믹,93,48,93,49
20192,11305608,번3동,LL,다이나믹,91,45,93,49
20192,11305635,수유3동,LL,다이나믹,88,44,93,49
20192,11320690,방학1동,LL,다이나믹,85,45,93,49
20192,11320710,방학3동,LH,상권확장,86,49,93,49
20192,11320512,창2동,LL,다이나믹,89,46,93,49
20192,11350640,상계2동,LL,다이나믹,82,44,93,49
20192,11350621,중계1동,LL,다이나믹,84,46,93,49
20192,11380520,불광1동,LH,상권확장,92,51,93,49
20192,11380530,불광2동,HH,정체,93,49,93,49
20192,11380650,수색동,HH,정체,124,58,93,49
20192,11410660,홍은1동,HH,정체,107,50,93,49
20192,11410640,홍제3동,HH,정체,103,54,93,49
20192,11440655,서강동,LL,다이나믹,72,43,93,49
20192,11440730,성산2동,LH,상권확장,87,52,93,49
20192,11440630,신수동,LH,상권확장,88,50,93,49
20192,11440555,아현동,LH,상권확장,91,50,93,49
20192,11470560,신월1동,HL,상권축소,95,44,93,49
20192,11530720,고척1동,HH,정체,95,49,93,49
20192,11560720,대림3동,HL,상권축소,93,43,93,49
20192,11590530,상도1동,LH,상권확장,91,51,93,49
20192,11620585,낙성대동,LL,다이나믹,79,48,93,49
20192,11620525,보라매동,LL,다이나믹,85,48,93,49
20192,11650620,방배3동,HH,정체,112,49,93,49
20192,11650621,방배4동,HH,정체,103,50,93,49
20192,11650590,방배본동,HL,상권축소,100,48,93,49
20192,11680660,개포1동,HH,정체,95,59,93,49
20192,11680690,개포4동,HL,상권축소,102,47,93,49
20192,11680700,세곡동,LL,다이나믹,56,43,93,49
20192,11680640,역삼1동,LL,다이나믹,80,44,93,49
20192,11680650,역삼2동,LL,다이나믹,83,44,93,49
20192,11710632,가락2동,HL,상권축소,94,47,93,49
20192,11710600,석촌동,LL,다이나믹,88,45,93,49
20192,11710720,잠실7동,HH,정체,124,60,93,49
20192,11710650,잠실본동,HL,상권축소,93,46,93,49
20192,11740515,강일동,LL,다이나믹,63,42,93,49
20192,11740685,길동,LL,다이나믹,89,45,93,49
20192,11140570,필동,HH,정체,121,53,93,49
20192,11140670,황학동,HH,정체,106,62,93,49
20192,11170520,용산2가동,LL,다이나믹,70,44,93,49
20192,11170630,이촌1동,HH,정체,120,58,93,49
20192,11170580,효창동,HH,정체,95,58,93,49
20192,11200550,사근동,LH,상권확장,78,49,93,49
20192,11200660,성수1가2동,LH,상권확장,75,49,93,49
20192,11200720,송정동,HL,상권축소,103,46,93,49
20192,11215780,능동,LH,상권확장,88,50,93,49
20192,11215820,자양1동,LL,다이나믹,92,46,93,49
20192,11215840,자양3동,LL,다이나믹,80,48,93,49
20192,11215770,중곡4동,HL,상권축소,94,49,93,49
20192,11230705,청량리동,HH,정체,147,54,93,49
20192,11260575,면목3?8동,LL,다이나믹,92,45,93,49
20192,11260550,면목5동,LL,다이나믹,91,45,93,49
20192,11260570,면목7동,HL,상권축소,100,45,93,49
20192,11290575,동선동,LL,다이나믹,89,47,93,49
20192,11290810,석관동,HH,정체,105,49,93,49
20192,11290760,장위1동,HL,상권축소,100,48,93,49
20192,11290705,종암동,HH,정체,94,50,93,49
20192,11305534,삼양동,HL,상권축소,94,47,93,49
20192,11320521,도봉1동,HL,상권축소,97,47,93,49
20192,11320511,창1동,LL,다이나믹,87,48,93,49
20192,11350580,월계3동,LL,다이나믹,89,47,93,49
20192,11380560,구산동,LL,다이나믹,87,48,93,49
20192,11380510,녹번동,LH,상권확장,86,49,93,49
20192,11410710,북가좌1동,LL,다이나믹,80,44,93,49
20192,11410720,북가좌2동,LL,다이나믹,88,46,93,49
20192,11470530,목3동,LL,다이나믹,93,49,93,49
20192,11470610,신월6동,HH,정체,104,52,93,49
20192,11470620,신정1동,HL,상권축소,93,46,93,49
20192,11500530,등촌2동,HL,상권축소,94,46,93,49
20192,11500640,방화2동,LH,상권확장,83,51,93,49
20192,11500550,화곡2동,LL,다이나믹,89,46,93,49
20192,11500570,화곡4동,LL,다이나믹,89,46,93,49
20192,11530740,개봉1동,HL,상권축소,95,49,93,49
20192,11530790,수궁동,LH,상권확장,92,49,93,49
20192,11545610,독산1동,LH,상권확장,85,49,93,49
20192,11545630,독산3동,HL,상권축소,103,44,93,49
20192,11560585,도림동,LL,다이나믹,92,48,93,49
20192,11560620,양평2동,HH,정체,94,49,93,49
20192,11560535,영등포동,HH,정체,112,54,93,49
20192,11590520,노량진2동,HH,정체,117,53,93,49
20192,11590650,사당4동,LL,다이나믹,92,48,93,49
20192,11620735,대학동,LL,다이나믹,87,44,93,49
20192,11620665,서림동,LL,다이나믹,91,48,93,49
20192,11650570,반포2동,HH,정체,97,60,93,49
20192,11710620,가락본동,LL,다이나믹,89,44,93,49
20192,11710540,마천1동,HL,상권축소,97,44,93,49
20192,11710550,마천2동,HH,정체,103,49,93,49
20192,11710642,문정2동,LL,다이나믹,58,37,93,49
20192,11710566,오륜동,HH,정체,122,60,93,49
20192,11740560,고덕2동,LH,상권확장,88,50,93,49
20192,11740650,성내2동,LL,다이나믹,89,43,93,49
20192,11740570,암사1동,LL,다이나믹,88,44,93,49
20192,11740590,암사3동,LH,상권확장,83,52,93,49
20192,11110550,부암동,LH,상권확장,91,53,93,49
20192,11170530,남영동,HH,정체,95,53,93,49
20192,11170685,한남동,LH,상권확장,83,50,93,49
20192,11200620,금호4가동,LH,상권확장,92,53,93,49
20192,11230730,휘경2동,LL,다이나믹,82,46,93,49
20192,11260620,묵1동,LL,다이나믹,83,48,93,49
20192,11260630,묵2동,LL,다이나믹,89,47,93,49
20192,11260590,상봉2동,LL,다이나믹,92,48,93,49
20192,11260690,신내2동,LL,다이나믹,87,46,93,49
20192,11290580,돈암1동,LH,상권확장,83,51,93,49
20192,11290610,보문동,HL,상권축소,93,47,93,49
20192,11290630,정릉2동,HH,정체,100,50,93,49
20192,11305595,번1동,LL,다이나믹,86,43,93,49
20192,11305575,삼각산동,LL,다이나믹,80,46,93,49
20192,11320522,도봉2동,LL,다이나믹,88,44,93,49
20192,11320680,쌍문3동,LL,다이나믹,90,47,93,49
20192,11320513,창3동,LL,다이나믹,92,48,93,49
20192,11350624,중계4동,LL,다이나믹,87,44,93,49
20192,11380552,갈현2동,LL,다이나믹,82,47,93,49
20192,11380640,증산동,HH,정체,103,49,93,49
20192,11410555,북아현동,HH,정체,111,55,93,49
20192,11440700,망원2동,LL,다이나믹,85,44,93,49
20192,11440740,상암동,LL,다이나믹,58,41,93,49
20192,11500520,등촌1동,LH,상권확장,79,50,93,49
20192,11500593,화곡8동,LL,다이나믹,82,46,93,49
20192,11500590,화곡본동,HL,상권축소,94,48,93,49
20192,11530550,구로4동,HL,상권축소,94,44,93,49
20192,11530800,항동,LH,상권확장,64,58,93,49
20192,11560630,신길1동,HL,상권축소,110,49,93,49
20192,11560610,양평1동,LH,상권확장,85,49,93,49
20192,11560515,영등포본동,LH,상권확장,79,51,93,49
20192,11590560,상도4동,LL,다이나믹,90,48,93,49
20192,11590605,흑석동,HH,정체,95,53,93,49
20192,11620630,남현동,LL,다이나믹,92,48,93,49
20192,11620645,서원동,LH,상권확장,93,52,93,49
20192,11620565,성현동,LL,다이나믹,85,44,93,49
20192,11620655,신원동,LL,다이나믹,92,46,93,49
20192,11620575,행운동,HH,정체,99,49,93,49
20192,11650560,반포1동,LL,다이나믹,84,42,93,49
20192,11650600,방배1동,LH,상권확장,91,49,93,49
20192,11650651,양재1동,LH,상권확장,92,49,93,49
20192,11680670,개포2동,HH,정체,94,49,93,49
20192,11680531,논현2동,LL,다이나믹,84,46,93,49
20192,11680630,대치4동,LL,다이나믹,76,45,93,49
20192,11680510,신사동,LL,다이나믹,83,46,93,49
20192,11680545,압구정동,LL,다이나믹,91,46,93,49
20192,11680720,일원본동,LL,다이나믹,90,46,93,49
20192,11710610,삼전동,LL,다이나믹,87,44,93,49
20192,11710690,잠실4동,LL,다이나믹,82,47,93,49
20192,11710646,장지동,LL,다이나믹,79,44,93,49
20192,11740700,둔촌2동,LL,다이나믹,92,46,93,49
20192,11110570,무악동,HH,정체,98,61,93,49
20192,11110680,창신2동,HH,정체,109,54,93,49
20192,11140650,신당5동,LH,상권확장,85,49,93,49
20192,11140540,회현동,HH,정체,133,63,93,49
20192,11170590,용문동,HL,상권축소,98,49,93,49
20192,11170570,원효로2동,HH,정체,111,50,93,49
20192,11200560,행당1동,LH,상권확장,85,49,93,49
20192,11215860,구의2동,LH,상권확장,91,50,93,49
20192,11215847,자양4동,LL,다이나믹,89,47,93,49
20192,11215760,중곡3동,LL,다이나믹,87,46,93,49
20192,11215710,화양동,LL,다이나믹,82,47,93,49
20192,11230740,이문1동,HH,정체,100,50,93,49
20192,11260655,망우본동,HL,상권축소,96,46,93,49
20192,11305545,송중동,LL,다이나믹,83,46,93,49
20192,11305555,송천동,HL,상권축소,95,47,93,49
20192,11350720,상계10동,LL,다이나믹,83,45,93,49
20192,11350710,상계9동,HL,상권축소,97,48,93,49
20192,11350570,월계2동,LH,상권확장,85,49,93,49
20192,11350625,중계2?3동,LH,상권확장,83,50,93,49
20192,11380631,신사1동,LL,다이나믹,92,46,93,49
20192,11410520,천연동,HH,정체,105,51,93,49
20192,11440720,성산1동,LL,다이나믹,83,47,93,49
20192,11470590,신월4동,HL,상권축소,94,46,93,49
20192,11470600,신월5동,LL,다이나믹,90,48,93,49
20192,11470670,신정6동,LL,다이나믹,81,43,93,49
20192,11500535,등촌3동,LL,다이나믹,76,47,93,49
20192,11500611,발산1동,LH,상권확장,78,49,93,49
20192,11500630,방화1동,LL,다이나믹,82,45,93,49
20192,11500641,방화3동,HL,상권축소,97,48,93,49
20192,11500591,화곡6동,LL,다이나믹,83,43,93,49
20192,11530770,오류1동,LH,상권확장,92,50,93,49
20192,11545710,시흥5동,HL,상권축소,97,48,93,49
20192,11560560,당산2동,LH,상권확장,87,49,93,49
